zipcode,city,kreis,state
72581,Dettingen an der Erms,Kreis Reutlingen,Baden-Württemberg
72574,Bad Urach,Kreis Reutlingen,Baden-Württemberg
72820,Sonnenbühl,Kreis Reutlingen,Baden-Württemberg
72539,Pfronstetten,Kreis Reutlingen,Baden-Württemberg
72818,Trochtelfingen,Kreis Reutlingen,Baden-Württemberg
72534,Hayingen,Kreis Reutlingen,Baden-Württemberg
72531,Hohenstein/Württemberg,Kreis Reutlingen,Baden-Württemberg
72365,Ratshausen,Zollernalbkreis,Baden-Württemberg
72805,Lichtenstein/Württemberg,Kreis Reutlingen,Baden-Württemberg
72800,Eningen unter Achalm,Kreis Reutlingen,Baden-Württemberg
72364,Obernheim/Württemberg,Zollernalbkreis,Baden-Württemberg
72361,Hausen am Tann,Zollernalbkreis,Baden-Württemberg
78601,Mahlstetten,Kreis Tuttlingen,Baden-Württemberg
78583,Böttingen,Kreis Tuttlingen,Baden-Württemberg
72514,Inzigkofen,Kreis Sigmaringen,Baden-Württemberg
72517,Sigmaringendorf,Kreis Sigmaringen,Baden-Württemberg
72505,Krauchenwies,Kreis Sigmaringen,Baden-Württemberg
72351,Geislingen b. Balingen,Zollernalbkreis,Baden-Württemberg
72469,Meßstetten,Zollernalbkreis,Baden-Württemberg
72362,Nusplingen,Zollernalbkreis,Baden-Württemberg
72519,Veringenstadt,Kreis Sigmaringen,Baden-Württemberg
72477,Schwenningen,Kreis Sigmaringen,Baden-Württemberg
72419,Veringenstadt,Kreis Sigmaringen,Baden-Württemberg
72488,Sigmaringen,Kreis Sigmaringen,Baden-Württemberg
72479,Straßberg b. Hohenz,Zollernalbkreis,Baden-Württemberg
72474,Winterlingen,Zollernalbkreis,Baden-Württemberg
78600,Kolbingen,Kreis Tuttlingen,Baden-Württemberg
78597,Irndorf,Kreis Tuttlingen,Baden-Württemberg
78580,Egesheim,Kreis Tuttlingen,Baden-Württemberg
78592,Egesheim,Kreis Tuttlingen,Baden-Württemberg
78580,Bärenthal,Kreis Tuttlingen,Baden-Württemberg
78603,Renquishausen,Kreis Tuttlingen,Baden-Württemberg
78598,Königsheim,Kreis Tuttlingen,Baden-Württemberg
78585,Bubsheim,Kreis Tuttlingen,Baden-Württemberg
78559,Gosheim,Kreis Tuttlingen,Baden-Württemberg
78665,Frittlingen,Kreis Tuttlingen,Baden-Württemberg
78554,Frittlingen,Kreis Tuttlingen,Baden-Württemberg
78588,Denkingen,Kreis Tuttlingen,Baden-Württemberg
78554,Denkingen,Kreis Tuttlingen,Baden-Württemberg
78647,Trossingen,Kreis Tuttlingen,Baden-Württemberg
78554,Aldingen,Kreis Tuttlingen,Baden-Württemberg
78582,Balgheim,Kreis Tuttlingen,Baden-Württemberg
78595,Hausen ob Verena,Kreis Tuttlingen,Baden-Württemberg
78606,Seitingen-Oberflacht,Kreis Tuttlingen,Baden-Württemberg
78589,Dürbheim,Kreis Tuttlingen,Baden-Württemberg
78604,Rietheim-Weilheim,Kreis Tuttlingen,Baden-Württemberg
78573,Wurmlingen,Kreis Tuttlingen,Baden-Württemberg
78570,Mühlheim an der Donau,Kreis Tuttlingen,Baden-Württemberg
78567,Fridingen an der Donau,Kreis Tuttlingen,Baden-Württemberg
78567,Buchheim,Kreis Tuttlingen,Baden-Württemberg
88637,Buchheim,Kreis Tuttlingen,Baden-Württemberg
78532,Tuttlingen,Kreis Tuttlingen,Baden-Württemberg
78579,Neuhausen ob Eck,Kreis Tuttlingen,Baden-Württemberg
