stoid;hospital_name;street;postcode;city;state_code;longitude;latitude;website;phone;email;operator_type;is_childrens_hospital;beds;total_cases;nursing_staff_fte;paediatric_emergency_care;paediatric_departments;certifications_all;paediatric_diabetes_confirmed;ddg_paediatric_certified;source_data_date;retrieved_date;source_url
771469;Ostalb-Klinikum Aalen;Im Kälblesrain 1;73430;Aalen, Württemberg;BW;10.084305524761;48.848839142222;https://www.kliniken-ostalb.de/kliniken-zentren/ostalb-klinikum-aalen/unsere-kliniken-2;+49 (0)7361/550;info@kliniken-ostalb.de;öffentlich;1;310;17835;301.52;2;Pädiatrie (2566.658 Fälle);Stroke Unit (gültig bis 24.10.2026) | Zentrum für Adipositas- und metabolische Chirurgie (gültig bis 31.05.2028) | TraumaZentrum (gültig bis 24.01.2028) | TraumaNetzwerk (gültig bis 24.01.2028);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772383;Caritas-Krankenhaus Bad Mergentheim;Uhlandstraße 7;97980;Bad Mergentheim;BW;9.763119578329;49.490775510161;https://www.ckbm.de;+49 (0)7931/58-0;info.caritas@bbtgruppe.de;freigemeinnützig;1;403;19760;312.672;2;Pädiatrie (2196.672 Fälle);Stroke Unit (gültig bis 26.10.2026) | Nephrologische Schwerpunktklinik (gültig bis 20.05.2028) | Onkologisches Zentrum (gültig bis 02.02.2027);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772902;Klinikum Mittelbaden Baden-Baden Bühl Standort Balg;Balger Straße 50;76532;Baden-Baden;BW;8.216414630397;48.784711946944;http://www.klinikum-mittelbaden.de;+49 (0)7221/910;info.balg@klinikum-mittelbaden.de;öffentlich;1;327;20028.953;260.501;2;Pädiatrie (1999.733 Fälle);Minimalinvasive Chirurgie (gültig bis 31.07.2026) | EndoProthetikZentrum der Maximalversorgung (gültig bis 31.07.2027) | Brustkrebszentrum (gültig bis 09.09.2027) | Zentrum für Hämatologische Neoplasien (gültig bis 20.04.2027) | Zentrum für Adipositas- und metabolische Chirurgie (gültig bis 31.10.2027);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772128;Zollernalb Klinikum gGmbH Balingen;Tübinger Straße 30;72336;Balingen;BW;8.857531785998;48.277714822745;http://www.zollernalb-klinikum.de;+49 (0)7433/90922001;info@zollernalb-klinikum.de;öffentlich;1;256;11348.283;260.342;1;Pädiatrie (1051.156 Fälle);;;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
771314;Klinikum Sindelfingen-Böblingen Kliniken Böblingen;Bunsenstraße 120;71032;Böblingen;BW;9.03298044208;48.690314124962;https://klinikverbund-suedwest.de/der-klinikverbund-suedwest/standorte-kontakt/kliniken-boeblingen/;+49 (0)7031/98-0;info@klinikverbund-suedwest.de;öffentlich;1;335;18105.393;275.25;2;Neonatologie (25.81 Fälle) | Pädiatrie/ohne Differenzierung nach Schwerpunkten (II) (167.522 Fälle) | Pädiatrie (3901.025 Fälle);;;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
771511;Klinikum Esslingen;Hirschlandstraße 97;73730;Esslingen am Neckar;BW;9.326441483572;48.737131873677;http://www.klinikum-esslingen.de;+49 (0)711/3103-2001;info@klinikum-esslingen.de;öffentlich;1;449;22384;426.225;2;Kinderchirurgie (1065.818 Fälle) | Neonatologie (107.68 Fälle) | Pädiatrie (2351.272 Fälle);Dysplasie-Einheit (gültig bis 22.05.2027) | Chest Pain Unit (gültig bis 24.02.2029) | Stroke Unit (gültig bis 23.09.2027) | AltersTraumaZentrum (gültig bis 19.01.2028) | Gefäßzentrum (gültig bis 31.03.2027) | Brustkrebszentrum (gültig bis 01.09.2028) | Lungenkrebszentrum (gültig bis 01.09.2028) | Gynäkologisches Krebszentrum (gültig bis 01.09.2028) | Zentrum für Hämatologische Neoplasien (gültig bis 01.09.2028) | Darmkrebszentrum (gültig bis 01.09.2028) | Onkologisches Zentrum (gültig bis 01.09.2028) | Zentrum für Adipositas- und metabolische Chirurgie (gültig bis 31.01.2029);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
772914;Die Filderklinik;Im Haberschlai 7;70794;Filderstadt;BW;9.204562492669;48.647647546769;http://www.filderklinik.de;+49 (0)711/7703-0;info@filderklinik.de;freigemeinnützig;1;217;13116;211.879;1;Neonatologie (810.397 Fälle) | Pädiatrie (937.954 Fälle);Zentrum für Adipositas- und metabolische Chirurgie (gültig bis 31.03.2027) | Babyfreundliche Geburtsklinik (gültig bis 21.11.2026);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
771473;St. Josefskrankenhaus Freiburg;Sautierstraße 1;79104;Freiburg;BW;7.851977527125;48.001809236905;https://www.josefskrankenhaus-freiburg.de;+49 (0)761/27110;SJK-info@artemed.de;privat;1;282;16729;332.03;2;Pädiatrie/Schwerpunkt Neonatologie (242.904 Fälle) | Pädiatrie (1025.172 Fälle);Weaningzentrum (gültig bis 30.06.2027) | Babyfreundliche Geburtsklinik (gültig bis 07.12.2026);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
773657;Universitätsklinikum Freiburg;Hugstetter Straße 55;79106;Freiburg im Breisgau;BW;7.839377939745;48.005345004531;https://www.uniklinik-freiburg.de/de.html;+49 (0)761/270-0;info@uniklinik-freiburg.de;öffentlich;1;1446;72321.788;1920.876;3;Pädiatrie/Schwerpunkt Kinderkardiologie (505.341 Fälle) | Pädiatrie (8099.844 Fälle);Weaningzentrum (gültig bis 06.06.2027) | Zentrum für Adipositas- und metabolische Chirurgie (gültig bis 30.04.2027) | EndoProthetikZentrum der Maximalversorgung (gültig bis 17.01.2028) | Zentrum für familiären Brust- und Eierstockkrebs (gültig bis 10.03.2028) | Lungenkrebszentrum (gültig bis 10.03.2028) | Neuroonkologisches Zentrum (gültig bis 10.03.2028) | Kopf-Hals-Tumor-Zentrum (gültig bis 10.03.2028) | Hautkrebszentrum (gültig bis 10.03.2028) | Zentrum für Hämatologische Neoplasien (gültig bis 10.03.2028) | Zentrum für Personalisierte Medizin (gültig bis 10.03.2028) | Palliativstation (gültig bis 30.12.2026) | Brustkrebszentrum (gültig bis 10.03.2028) | Kinderonkologisches Zentrum (gültig bis 10.03.2028) | Dysplasie-Einheit (gültig bis 19.05.2028) | Prostatakrebszentrum (gültig bis 10.03.2028) | Gynäkologisches Krebszentrum (gültig bis 10.03.2028) | Pankreaskrebszentrum (gültig bis 10.03.2028) | Darmkrebszentrum (gültig bis 10.03.2028) | Onkologisches Zentrum (gültig bis 10.03.2028);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
773536;Krankenhäuser Landkreis Freudenstadt gGmbH;Karl-v.-Hahn-Straße 100;72250;Freudenstadt;BW;8.404714269564;48.476333590088;http://www.klf-web.de;+49 (0)7441/54-0;info@klf-net.de;öffentlich;1;272;14205;191.706;1;Neonatologie (129.611 Fälle) | Pädiatrie (1550.404 Fälle);Stroke Unit (gültig bis 07.12.2026) | Babyfreundliche Geburtsklinik (gültig bis 30.01.2028) | Qualitätsmanagement-System für eine Lokale Schlaganfallstation (gültig bis 07.12.2026) | Chest Pain Unit (gültig bis 11.11.2026) | TraumaZentrum (gültig bis 01.10.2027);;;2026-07-28;2026-08-13;https://bundes-klinik-atlas.de/open-data/
